,discarded,sigmoid,continuous
676,,OR5D14,
677,,PCDHA13,
678,,ZNF525,
679,,GRIK2,
680,,CDH9,
681,,WWC3,
682,,KLHL4,
683,,TAF1L,
684,,MAP1B,
685,,ASXL1,
686,,LENG8,
687,,BLOC1S4,
