promoter,Cecum,Ascending colon,Hepatic flexure of colon,Transverse colon,Descending colon,Sigmoid colon,Rectosigmoid junction,"Rectum, NOS"
LRRC4C_5,0.356868535818429,0.346417959538201,0.271424300274413,0.2393075869536685,0.146702723657122,0.167609474255247,0.160208509255381,0.164588724860326
LRRC4C_4,0.356868535818429,0.346417959538201,0.271424300274413,0.2393075869536685,0.146702723657122,0.167609474255247,0.160208509255381,0.164588724860326
API5_1,0.0899907743550185,0.08270624555171,0.081404286234329,0.0903522686909729,0.082098320096976,0.0823215803163195,0.086232673226582,0.0857874174654109
TTC17_1,0.034927257331818,0.0356268859045949,0.038171306949845,0.0332634317405685,0.034228226664666,0.033950634202439,0.032418546618961,0.0304973235739135
HSD17B12_1,0.080001401745325,0.0719223498488295,0.059814823163063,0.066231085377938,0.057828553129869,0.055126393493598,0.053411115771472,0.055343448799946
ALKBH3_1,0.136266535700586,0.1377127743254315,0.118355369146805,0.1120873809370775,0.097733953540335,0.0891197068961064,0.095306291834907,0.093193517260083
ACCS_3,0.1869577810674559,0.163106510465717,0.140531258672554,0.206530893133746,0.126318409894228,0.1339305060989339,0.113828921148798,0.12255261129344
ACCS_1,0.09112200366513,0.0817205324358425,0.079321765901605,0.093741762406406,0.067751776757702,0.0728923821952355,0.063807596729621,0.0681249995795835
ACCS_2,0.085542045244013,0.0769325510039955,0.074888062815603,0.087884306927518,0.064000986312074,0.0691972992815405,0.061040917989647,0.0644745948568885
EXT2_1,0.06277046377749,0.06609242402825,0.070359668017018,0.0645588875186115,0.059279060678491,0.0663260208757545,0.063128860632869,0.06395307484934
EXT2_2,0.0534207558878905,0.055409826623289,0.054962644140655,0.053122044332351,0.05233755726426,0.0556629891254895,0.050477595273163,0.051875871029016
CD82_1,0.044313616733613,0.0458009524504965,0.046032451452503,0.0473121916534269,0.043720599254368,0.046395191035644,0.036824016530947,0.037148876906305
TP53I11_2,0.0517575968859035,0.050262529823232,0.051099439210608,0.054208062727016,0.052262564310455,0.0528370118203875,0.047825497302095,0.049526339126242
TP53I11_1,0.2873041729757329,0.28168584183545,0.272474568378884,0.2914788833124655,0.27771472683026,0.2821598570574229,0.273049628851717,0.278308373276028
SYT13_1,0.149604247276949,0.149546364073929,0.146186999945437,0.1521085295964195,0.146661528238063,0.148264925513436,0.143973928019306,0.1449828368681704
CHST1_1,0.185852716369879,0.134854161559956,0.219875580400032,0.0901931082231895,0.074934187972089,0.0720932559084585,0.069978230944714,0.074226115762943
SLC35C1_1,0.2235498093302509,0.241912759562049,0.210744385418447,0.274145701413244,0.219602483104041,0.2171876747655295,0.208497646210964,0.2070026471127955
SLC35C1_2,0.038651914843906,0.0374727776408315,0.038635183953558,0.039546223423984,0.037662647329949,0.0394494061788655,0.037773349699314,0.0386705686655124
CRY2_1,0.030076861351188,0.03138594738113,0.030651626642735,0.0305760550193625,0.031167634124493,0.031449885740272,0.029410199146912,0.0285653751121765
MAPK8IP1_1,0.3125543070650824,0.300116965631637,0.301151279490093,0.2888251672993009,0.2958921804799,0.2983906953254605,0.269188310185455,0.2980807431871635
PEX16_1,0.055340357806565,0.0554663101101575,0.054237667791951,0.055035875163172,0.051829720592261,0.0546941599510045,0.050853816060151,0.0516621975990475
PEX16_2,0.0681579275224135,0.068802626824524,0.067901614622638,0.067991091923699,0.064642961727653,0.0676398919167119,0.062859381809827,0.0633852199617395
GYLTL1B_1,0.0931878038033305,0.101128569834919,0.086892057335768,0.1044015561712884,0.073841809678098,0.0887374009994365,0.08820385075629,0.0896900889247599
PEX16_3,0.1589370090804019,0.105352748849197,0.126943870932014,0.0847587125300445,0.107866887996196,0.133282129558503,0.131837274890774,0.1080647651301205
PHF21A_2,0.0393776733914214,0.040179058567289,0.039640705925118,0.0404680943067655,0.0367701490064,0.0399169547882565,0.037049508751729,0.0364736359654234
PHF21A_3,0.0393776733914214,0.040179058567289,0.039640705925118,0.0404680943067655,0.0367701490064,0.0399169547882565,0.037049508751729,0.0364736359654234
PHF21A_1,0.0379120890266545,0.038653750884567,0.037462107771808,0.036906902996628,0.035568945281506,0.03873164074046,0.03613045576278,0.0348888524439245
CREB3L1_1,0.2157588106647325,0.205307972615222,0.201210402788176,0.2449278026381235,0.179867783157285,0.229446016832169,0.226185440594317,0.2230060079278304
CREB3L1_2,0.16562646327887,0.1574145977708489,0.154056651142389,0.1901063254732255,0.135970240332076,0.172318746071803,0.168811804847994,0.1662728474103345
DGKZ_3,0.0323386835762435,0.032518055577079,0.031719567651436,0.0305195799752744,0.032341702770106,0.0335354721626605,0.033008047890604,0.0307564736115255
MDK_4,0.2566227488025084,0.252541017748502,0.245487998432959,0.2532665733558975,0.24308711459641,0.255169072769271,0.240187531184066,0.246300807422247
MDK_3,0.171615583499342,0.172826037739247,0.168017639744325,0.1675372438189045,0.165450099495747,0.1730788984096485,0.164034307455489,0.167801208645855
MDK_1,0.0747488767579715,0.074323156893244,0.075959173567948,0.073036629014475,0.073432446349297,0.075935752022434,0.071922315751627,0.0740861029325
MDK_2,0.0725219201793435,0.0729019578894425,0.074153375529071,0.072416727488081,0.069406758324545,0.0727519113934405,0.068886251006096,0.0709961347462725
AMBRA1_1,0.0358908410719474,0.037871643454807,0.037387515325712,0.037293723675713,0.033507302124806,0.0368826098895075,0.035245778370525,0.035920660562912
HARBI1_3,0.035989154888246,0.0363733779152189,0.034338304719354,0.0362597929636565,0.034143302390542,0.0362105845018885,0.034319874583298,0.0343932030555145
HARBI1_1,0.028450462101189,0.029274726655843,0.027545830421046,0.027181254868586,0.026762704514798,0.0274153218965125,0.026191113291179,0.026392147648538
ATG13_2,0.0379621077890285,0.0380962320148305,0.038083878647432,0.040049574943122,0.03560313749996,0.0385230334281214,0.03639164101234,0.0372839588661545
ATG13_1,0.0373249898923754,0.0379167883707309,0.036238468105233,0.0384601758949735,0.034839158639662,0.0379668486872774,0.035435303243085,0.0366285265486225
HARBI1_2,0.0192974914815355,0.0188073293066525,0.01882500372014,0.0205247959829455,0.01879426322594,0.0182415484923445,0.016405737126747,0.0153522613965615
ARHGAP1_1,0.0379313942328835,0.038888102075768,0.03862959474651,0.0343010369493385,0.037958020012865,0.037091697170365,0.034324437570062,0.033458855040933
ZNF408_2,0.0359484886770455,0.037398464898138,0.036357548998459,0.0343154555479825,0.036672898734717,0.035349775356159,0.032673004294296,0.0331317599480105
ZNF408_1,0.037748590151753,0.0386281229615664,0.038188724543602,0.035430327495953,0.038212987467093,0.037097198401843,0.033945214173576,0.0330196330235365
LRP4_1,0.276876747434266,0.286341006946062,0.232112775426925,0.249416039394465,0.259134688845277,0.2571022811199475,0.258626289898566,0.266462962383082
C11orf49_3,0.3987234392800045,0.3950452841044289,0.304090126394103,0.4092766267993535,0.32848774008974,0.286307034707717,0.283559751301329,0.298974478072059
C11orf49_1,0.1870673275141505,0.1889383679921435,0.15548027694815,0.19113412499746,0.152258430235496,0.1410317412211705,0.142429710514041,0.1533123988101405
ARFGAP2_1,0.0770732600619925,0.0770405256998379,0.079310589864244,0.0737531059221744,0.068394945244191,0.0705316753023135,0.059672117915365,0.0601555359748604
ARFGAP2_2,0.105835095343877,0.1095076612075049,0.09937086085668,0.1030643918609315,0.103246016606141,0.09606976273834,0.1005344184233,0.0943736499166705
DDB2_2,0.0774482561929714,0.08357050156625,0.068785458786538,0.102535354122176,0.062080610331337,0.0767782732387095,0.078648147609214,0.0742347409167855
DDB2_1,0.048124425642109,0.050430878639366,0.046722361791166,0.054612383657781,0.042542239017515,0.0481777289303235,0.048568602951856,0.047406057834064
ACP2_1,0.04105528931344,0.041337178482031,0.04145961364614,0.0407296504069765,0.039760346645882,0.0420572703869015,0.040732110726878,0.0401457333051005
NR1H3_1,0.044341030009634,0.0446977857859005,0.04138315456666,0.0435843576063249,0.044120368061585,0.046272763515735,0.044577040474365,0.044258571474428
NR1H3_3,0.359188174868322,0.356217186958908,0.315127922312575,0.3602837224020709,0.342938838046861,0.3176853710051625,0.323600288319116,0.332401445342053
NR1H3_2,0.2679577754156435,0.271151322776445,0.234290858454564,0.259493046937021,0.239641006969945,0.2300993907891375,0.232417784585616,0.24249286681331
MADD_3,0.154235396226585,0.153865305087619,0.145846644715793,0.148323531003033,0.146918374242604,0.1395344482143495,0.131683154720927,0.139453544563011
MADD_2,0.066272614621592,0.0665261562420495,0.059131279651419,0.063210471284065,0.061066547782947,0.0623934366923805,0.063920281375359,0.0618719209983879
MADD_1,0.0511898697943305,0.0503252993244255,0.048108613888934,0.0506846005006269,0.051629231968147,0.0522402476449395,0.052442668689842,0.0499089102158485
SLC39A13_1,0.025822397994179,0.0263677734387255,0.026268885342544,0.025173408265491,0.025139013900118,0.025724085483549,0.02418626994895,0.023143288970697
PSMC3_1,0.034980001737284,0.032582929351651,0.033512883219519,0.0335892384082775,0.031829903618763,0.034820054866608,0.037093354451302,0.034011537727951
PSMC3_2,0.034772333638571,0.0320939462567635,0.033245848481381,0.0334242603716265,0.031623513041749,0.034440142379523,0.036888126034993,0.034645322354326
