,discarded,sigmoid,continuous
340,,,ENSG00000168612
341,,,ENSG00000134758
342,,,ENSG00000250568
343,,,ENSG00000240499
344,,,ENSG00000272523
345,,,ENSG00000125967
346,,,ENSG00000168631
347,,,ENSG00000101773
348,,,ENSG00000275223
349,,,ENSG00000223534
350,,,ENSG00000164867
351,,,ENSG00000125991
352,,,ENSG00000228205
353,,,ENSG00000160951
354,,,ENSG00000130703
355,,,ENSG00000272382
356,,,ENSG00000148734
357,,,ENSG00000177721
358,,,ENSG00000244005
359,,,ENSG00000171044
360,,,ENSG00000101470
361,,,ENSG00000118705
362,,,ENSG00000204420
363,,,ENSG00000184368
364,,,ENSG00000033170
365,,,ENSG00000260290
366,,,ENSG00000259321
367,,,ENSG00000265943
368,,,ENSG00000177409
369,,,ENSG00000070031
370,,,ENSG00000174332
371,,,ENSG00000112773
372,,,ENSG00000184988
373,,,ENSG00000244198
374,,,ENSG00000278356
375,,,ENSG00000182366
376,,,ENSG00000197183
377,,,ENSG00000164627
378,,,ENSG00000256356
379,,,ENSG00000088367
