,discarded,sigmoid,continuous
222,PRSS21_2,DHRS11_1,SCARA5_1
223,SEC14L1_2,SERAC1_1,PKNOX1_2
224,ZNF138_1,DNAJB1_1,CLPTM1L_1
225,WNK1_2,SECTM1_2,ABCB5_1
226,PGC_1,NNT_1,ATF7IP_1
227,NRGN_1,RAD1_2,DLAT_1
228,C5orf47_2,RMND5A_2,TXNL4B_2
229,RBM22_1,HYOU1_1,AKR1C1_1
230,SALL2_2,PEX13_1,WFS1_1
231,RNASEH2C_1,ZC3H12A_1,GGT7_1
232,FAM189B_2,CEP120_1,SPAG7_3
233,TLX2_1,CCDC30_1,TNFAIP3_1
234,ACVR1C_1,GP1BB_2,AP4S1_3
235,SNX10_1,RASSF1_4,RAPGEF5_3
236,KIAA1024_1,ADAMTS13_2,VAC14_1
237,IGF2R_1,DCAF12_1,SLC26A5_1
238,CSAD_3,INO80B_1,ECHDC2_1
239,REST_4,ZBTB43_1,RHEB_3
240,PPP2R3C_2,SLC22A3_1,HCFC2_1
241,DNAJC22_2,RNF4_1,WDR26_2
242,FANCG_1,PRR4_1,TENM2_1
243,REEP1_1,NOP56_3,ARC_1
244,OCLN_1,ZEB2_3,RAD51AP1_1
245,ADAMTS7_1,RBM27_1,SRSF5_1
246,COPS7B_1,BMP4_4,PNKD_2
247,PAX3_1,NPLOC4_2,C4orf22_1
248,MARCH3_1,ZNF584_1,SIAH2_1
249,TSPAN32_2,ZNF280D_3,PXMP2_2
250,PXMP4_1,DYNLT1_1,VAMP1_2
251,FCER2_1,KCNE2_1,CSHL1_1
252,UBE2U_1,CD160_1,SHD_2
253,SULT1A2_2,TUBA1A_2,SOAT2_2
254,AVPI1_1,TFAP2B_2,SULF2_2
255,ZNF688_2,DYSF_3,SLC20A2_4
256,FAF2_1,SECTM1_1,CCDC86_1
257,COMP_1,SLC5A5_1,EZH1_1
258,SCAF11_2,ABO_1,NEGR1_2
259,SOX13_3,GPR108_1,TMEM68_1
260,OLFM2_1,RAPGEF1_2,CBLL1_2
261,DNAL4_1,NR2F2_3,SMEK1_3
262,TNFRSF11A_1,CEP170_2,KLHL10_1
263,NKX2-1_2,GPR39_1,UHRF1_3
264,LRP5_2,OSGEPL1_2,ZNF343_1
265,LMO7_1,UNC5D_1,CERS2_3
266,PTPRN2_2,KLHDC4_1,AIG1_1
267,SLC35D3_1,CDC25B_1,KLHL21_1
268,WDR18_1,S100A13_1,TTLL3_9
269,HAGHL_1,ZCCHC11_2,SH2D3C_1
270,NCAPH2_1,TMEM140_1,NUP43_1
271,C1orf21_1,NMBR_2,CEP19_1
272,FAM206A_2,CFAP100_1,CDK11A_1
273,NECTIN4_1,STK38_1,PLG_1
274,AMN_1,THAP1_1,DHX57_1
275,CENPS_1,MLLT4_3,SMAD3_2
276,NSA2_1,ZFP2_1,TRIM2_1
277,RTP5_1,ARTN_3,BVES_1
278,NFATC1_4,MESP1_1,KIFAP3_1
279,ZMPSTE24_2,ITSN1_2,PAK6_8
280,MED24_1,CHCHD1_1,TTYH3_1
281,TPM2_2,TYRO3_1,PLEKHG6_2
282,CYP4V2_3,APBA1_1,FBXW5_2
283,KCNS2_1,FAM162B_2,AMOTL2_1
284,RNF220_1,ZNF644_3,SEPT2_2
285,MTBP_1,LRRC66_2,CASP1_3
286,RBM24_2,CUX1_2,SLC22A15_1
287,SLIT2_2,HIGD1B_1,PON3_1
288,TEKT4_1,ZNF511_1,LGALS8_3
289,VASH2_2,STOML2_1,LIMS2_3
290,SNX20_1,ADCYAP1R1_1,BMP1_2
291,SCO2_4,SETD1B_4,RAP1GAP_3
