,species,genus
47879,Pseudomonas_corrugata,Pseudomonas
47880,Pseudomonas_fulva,Pseudomonas
47884,Pseudomonas_taetrolens,Pseudomonas
47885,Pseudomonas_oryzihabitans,Pseudomonas
457502,Polaromonas_jejuensis,Polaromonas
80866,Delftia_acidovorans,Delftia
97253,Eubacterium_plexicaudatum,Eubacterium
359408,Methylotenera_mobilis,Methylotenera
310300,Bacteroides_pyogenes,Bacteroides
310297,Bacteroides_plebeius,Bacteroides
310298,Bacteroides_coprocola,Bacteroides
1391653,Vulgatibacter_incomptus,Vulgatibacter
588932,Brevundimonas_naejangsanensis,Brevundimonas
31909,Halothermothrix_orenii,Halothermothrix
48296,Acinetobacter_pittii,Acinetobacter
261299,Intestinibacter_bartlettii,Intestinibacter
261302,Paraburkholderia_phytofirmans,Paraburkholderia
392413,Deinococcus_misasensis,Deinococcus
310514,Prevotella_multisaccharivorax,Prevotella
228603,Prevotella_shahii,Prevotella
31998,Methylobacterium_radiotolerans,Methylobacterium
228604,Prevotella_salivae,Prevotella
32013,Comamonas_terrigena,Comamonas
195907,Gillisia_limnaea,Gillisia
179628,Clostridium_colicanis,Clostridium
146939,Azospira_oryzae,Azospira
327160,Candidatus_Accumulibacter_phosphatis,Candidatus
81408,Parageobacillus_caldoxylosilyticus,Parageobacillus
